spectrum,continuum_subtracted_spectrum,error
1.35408,-1.16534,0.955349
1.8063,-0.726693,0.974736
2.54463,0.00186944,0.974093
0.860766,-1.69608,0.949701
3.48139,0.910726,0.97191
0.760207,-1.82442,0.955964
3.18719,0.594091,0.982837
3.54651,0.937722,1.07058
2.16266,-0.457758,1.16645
4.22571,1.62041,1.2406
1.64758,-0.943036,1.1083
3.27036,0.667466,0.977255
1.91326,-0.705582,0.951467
1.46266,-1.15618,0.95229
2.02192,-0.612966,1.0044
0.939867,-1.7007,1.03178
2.94321,0.286874,1.0253
1.25307,-1.4193,0.989498
1.87129,-0.801079,0.954066
2.8306,0.158231,0.973843
2.35098,-0.321389,0.989939
1.49116,-1.19701,1.00156
0.77414,-1.91509,1.0253
1.78798,-0.88554,1.05541
0.94979,-1.72285,1.04373
1.83424,-0.838399,1.08635
3.58562,0.912981,1.08111
2.46685,-0.19738,1.02044
1.86633,-0.7979,1.00962
3.82834,1.17211,1.06154
4.64818,1.99195,1.11064
3.65901,0.990299,1.08527
3.22105,0.55234,1.04587
3.67759,0.993473,0.97443
0.900076,-1.78406,0.930367
3.05023,0.373882,0.969741
3.07512,0.395267,1.07637
2.3029,-0.390276,1.11214
2.69053,-0.0172982,1.13254
3.03614,0.313794,1.13646
2.28934,-0.433006,1.09604
3.11079,0.373849,1.06155
3.17689,0.438259,1.01795
3.36453,0.625899,1.03859
2.92259,0.169793,1.02357
1.44518,-1.30762,1.02092
2.96896,0.208464,1.03368
2.46663,-0.293866,1.00616
2.79221,0.0171564,1.02338
3.26964,0.480108,0.965618
2.46113,-0.328402,0.970549
1.3773,-1.42682,0.994127
2.99891,0.18056,1.0293
3.57131,0.738227,0.99826
0.915385,-1.93265,0.976747
1.26134,-1.5867,0.997877
3.15503,0.292683,1.05867
1.71445,-1.1479,1.0113
2.59784,-0.250198,0.956822
2.84623,-0.00180793,0.979597
3.64761,0.798149,0.995589
3.6462,0.782122,1.0074
3.12139,0.257312,0.983945
3.09413,0.230052,0.986048
1.95341,-0.908344,0.97557
2.57142,-0.304068,0.980854
2.08372,-0.784788,0.938576
2.60527,-0.264183,0.942181
3.13463,0.251254,0.935258
2.12362,-0.760652,0.918584
4.37231,1.49449,1.00107
3.9704,1.08464,1.04352
1.25742,-1.6346,0.964962
0.841977,-2.05767,0.936915
1.6712,-1.22845,0.947921
0.858934,-2.03308,0.935135
2.8115,-0.0742559,0.931077
4.37694,1.48475,0.94535
2.21972,-0.678724,0.908539
2.66195,-0.24447,0.937046
4.44409,1.54565,1.01541
2.61136,-0.280826,1.08538
3.09918,0.213259,1.10658
2.42928,-0.462906,1.05679
2.96973,0.0775437,1.04999
3.26997,0.369765,0.974171
3.16146,0.262232,1.0395
3.1862,0.272382,1.02808
1.45156,-1.44802,0.99427
3.55031,0.658492,0.993092
3.40659,0.514772,0.995441
2.76003,-0.144979,0.976081
2.80908,-0.110681,0.978255
2.17693,-0.756754,0.969285
2.00261,-0.916616,0.969591
4.36391,1.43023,0.993127
3.24895,0.329724,0.999665
2.26323,-0.641406,0.94234
3.21905,0.325158,0.947274
3.61576,0.736755,0.934857
3.18836,0.309355,0.91411
4.63741,1.7584,0.95229
5.02555,2.14654,0.969673
4.20149,1.32248,0.951837
3.08368,0.192178,0.929122
2.92733,0.0354199,0.93015
4.73899,1.84708,0.946845
3.21741,0.3255,0.932193
2.3234,-0.56851,0.912947
2.32529,-0.567306,0.925632
3.2632,0.356709,0.935712
4.20606,1.2858,0.940817
1.45987,-1.47435,0.926852
3.00518,0.0709591,0.969099
4.61508,1.68086,1.03142
4.45131,1.52168,1.04578
4.29466,1.36503,1.01911
4.66953,1.74638,1.00236
1.95743,-0.960477,0.986748
